Estação ,Sensores ,Data Hora,Valor ,,,,,
ARACOIABA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.60,,,,,
ARACOIABA,Umidade Relativa (%),2013-04-01 00:00:00,27.20,,,,,
ARACOIABA,Temp. do Ar (ºC),2013-04-01 00:00:00,51.10,,,,,
ARACOIABA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ARACOIABA,Pressão atmosférica (hPa),2013-04-01 00:00:00,998.20,,,,,
ARACOIABA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ARACOIABA,Direção do vento (graus),2013-04-01 00:00:00,54.00,,,,,
ITAICABA,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
ITAICABA,Umidade Relativa (%),2013-04-01 00:00:00,68.80,,,,,
ITAICABA,Temp. do Ar (ºC),2013-04-01 00:00:00,27.40,,,,,
ITAICABA,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ITAICABA,Pressão atmosférica (hPa),2013-04-01 00:00:00,1010.40,,,,,
ITAICABA,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ITAICABA,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
ACARAU,Veloc. do vento media 10m (m/s),2013-04-01 00:00:00,0.00,,,,,
ACARAU,Umidade Relativa (%),2013-04-01 00:00:00,100.80,,,,,
ACARAU,Temp. do Ar (ºC),2013-04-01 00:00:00,17.50,,,,,
ACARAU,Rad. Inc. total (MJ/m2),2013-04-01 00:00:00,0.00,,,,,
ACARAU,Pressão atmosférica (hPa),2013-04-01 00:00:00,1014.00,,,,,
ACARAU,Precipit. Pluviométrica (mm),2013-04-01 00:00:00,0.00,,,,,
ACARAU,Direção do vento (graus),2013-04-01 00:00:00,0.00,,,,,
VICOSA DO CEARA,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
VICOSA DO CEARA,Umidade Relativa (%),2013-04-01 03:00:00,0.00,,,,,
VICOSA DO CEARA,Temp. do Ar (ºC),2013-04-01 03:00:00,0.00,,,,,
VICOSA DO CEARA,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
VICOSA DO CEARA,Pressão atmosférica (hPa),2013-04-01 03:00:00,850.00,,,,,
VICOSA DO CEARA,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
VICOSA DO CEARA,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
SAO GONCALO,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
SAO GONCALO,Umidade Relativa (%),2013-04-01 03:00:00,0.00,,,,,
SAO GONCALO,Temp. do Ar (ºC),2013-04-01 03:00:00,0.00,,,,,
SAO GONCALO,Rad. Inc. total (MJ/m2),2013-04-01 03:00:00,0.00,,,,,
SAO GONCALO,Pressão atmosférica (hPa),2013-04-01 03:00:00,850.00,,,,,
SAO GONCALO,Precipit. Pluviométrica (mm),2013-04-01 03:00:00,0.00,,,,,
SAO GONCALO,Direção do vento (graus),2013-04-01 03:00:00,0.00,,,,,
SANTANA DO CARIRI,Veloc. do vento media 10m (m/s),2013-04-01 03:00:00,0.00,,,,,
SANTANA DO CARIRI,Umidade Relativa (%),2013-04-01 03:00:00,0.00,,,,,
SANTANA DO CARIRI,Temp. do Ar (ºC),2013-04-01 03:00:00,0.00,,,,,
